Oscore,Cscore,Escore,Ascore,Nscore,Amphet
-0.58331,-0.00665,-0.57545,-0.91699,0.31287,CL2
1.43533,-0.14277,1.93886,0.76096,-0.67825,CL2
-0.84732,-1.0145,0.80523,-1.6209,-0.46725,CL0
-0.01928,0.58489,-0.80615,0.59042,-0.14882,CL0
-0.45174,1.30612,-1.6334,-0.30172,0.73545,CL1
-1.55521,1.63088,-0.30033,2.03972,-0.67825,CL0
-0.45174,0.93949,-1.09207,-0.30172,-0.46725,CL0
-0.84732,1.63088,1.93886,-0.30172,-1.32828,CL0
-0.97631,1.13407,2.57309,0.76096,0.62967,CL0
-1.42424,0.12331,0.00332,0.59042,-0.24649,CL1
-1.11902,1.81175,0.80523,-0.76096,-1.05308,CL0
0.14143,-0.52745,0.00332,-1.92595,-1.32828,CL1
0.44585,-0.78155,0.16767,-1.6209,2.28554,CL1
-0.01928,3.46436,0.80523,0.94156,-0.79151,CL0
0.44585,1.63088,1.45421,-0.60633,-0.92104,CL0
-1.55521,1.13407,-1.50796,-1.07533,-2.05048,CL2
-1.68062,0.7583,-0.80615,0.28783,-1.55078,CL0
-0.31776,-1.38502,-1.23177,-0.45321,0.52135,CL1
-0.17779,-1.5184,-0.15487,-1.92595,1.37297,CL2
-2.39883,0.7583,-1.7625,-1.92595,-0.34799,CL1
0.7233,-1.13788,0.80523,1.61108,-0.79151,CL1
-1.11902,1.81175,0.47617,-0.60633,-1.1943,CL0
-0.84732,-0.89891,-0.94779,1.11406,0.41667,CL0
-1.27553,-1.0145,-3.27393,0.28783,1.60383,CL2
1.24033,1.46191,0.63779,0.76096,-0.14882,CL1
-1.27553,-0.00665,-0.43999,0.94156,-0.79151,CL1
-3.27393,0.58489,-1.6334,-0.76096,-0.05188,CL0
-0.01928,-2.18109,-1.23177,-0.01729,0.52135,CL1
-0.71727,1.30612,-1.50796,0.28783,0.04257,CL0
0.88309,1.81175,1.74091,0.94156,-1.32828,CL0
-1.27553,-0.65253,-0.80615,-1.47955,0.31287,CL1
0.14143,-0.00665,-0.80615,-0.60633,-1.1943,CL0
-0.01928,-0.00665,-1.23177,0.43852,-0.79151,CL1
0.29338,-0.14277,-0.30033,1.2861,0.41667,CL0
0.88309,-0.78155,0.63779,-2.90161,1.02119,CL2
-2.63199,-0.78155,-0.80615,-0.30172,-0.24649,CL0
-0.17779,-1.5184,-0.57545,-0.01729,-0.24649,CL0
1.06238,-0.65253,0.32197,0.13136,0.31287,CL1
0.29338,0.7583,1.2861,-0.01729,-1.55078,CL1
-1.11902,0.41594,-0.94779,-0.76096,-0.24649,CL0
-0.01928,0.7583,-0.43999,-2.07848,0.04257,CL1
1.06238,-0.40581,0.00332,1.81866,0.82562,CL0
-1.27553,-0.65253,-0.94779,-0.01729,-0.14882,CL0
-0.31776,-1.0145,-0.57545,-0.15487,-0.92104,CL2
0.44585,0.93949,1.45421,1.2861,-1.05308,CL0
1.24033,1.63088,0.47617,0.94156,-0.46725,CL0
-1.11902,1.46191,0.63779,0.28783,0.31287,CL0
0.29338,1.13407,0.80523,0.94156,-2.05048,CL0
-0.31776,-0.65253,-0.80615,-0.15487,0.13606,CL1
-1.97495,0.25953,-0.57545,-0.91699,0.82562,CL0
-0.17779,-0.00665,-0.15487,-1.21213,1.02119,CL1
-0.58331,-1.92173,0.96248,-0.91699,1.13281,CL1
-1.42424,-0.78155,0.00332,0.28783,-0.14882,CL0
1.06238,0.25953,-0.15487,0.28783,-1.43907,CL1
-0.58331,-1.13788,1.11406,-1.07533,0.04257,CL0
-1.11902,-0.40581,-0.69509,-0.45321,0.04257,CL0
-1.68062,0.25953,0.00332,-0.01729,0.04257,CL0
-1.97495,0.7583,0.63779,0.28783,-0.58016,CL0
-0.01928,-0.40581,0.63779,-0.45321,0.22393,CL1
-1.27553,-0.14277,-1.23177,-1.6209,-0.46725,CL0
0.29338,-0.27607,0.32197,-0.30172,1.37297,CL0
1.24033,1.30612,1.58487,0.13136,-2.21844,CL1
-1.82919,0.41594,-1.37639,-1.34289,-0.58016,CL0
-0.71727,-0.00665,-0.30033,-0.60633,1.02119,CL0
1.06238,0.93949,0.47617,-0.45321,-1.55078,CL1
-0.84732,0.58489,0.47617,1.11406,0.73545,CL0
-1.11902,0.41594,-0.69509,1.2861,-1.05308,CL0
1.06238,-0.14277,-0.30033,-0.91699,-0.34799,CL1
0.29338,-0.27607,0.00332,-0.15487,-0.92104,CL1
-1.68062,-0.00665,-0.69509,0.28783,-0.05188,CL0
0.14143,-0.27607,-0.30033,-1.92595,-0.34799,CL2
-0.31776,0.12331,1.11406,1.11406,-0.46725,CL0
-0.01928,0.93949,0.96248,0.43852,-1.55078,CL1
-0.31776,1.13407,-0.57545,0.28783,-0.67825,CL0
-2.8595,0.25953,-1.7625,-1.47955,-1.1943,CL0
-1.55521,-0.40581,0.16767,-0.76096,-0.14882,CL0
-1.55521,0.58489,-0.69509,0.43852,-0.34799,CL0
-0.58331,-0.40581,-1.6334,-1.21213,0.13606,CL1
-2.09015,-2.18109,-0.80615,-1.6209,-0.79151,CL0
-1.97495,-0.65253,-0.80615,1.11406,-0.34799,CL0
0.44585,1.46191,0.32197,-0.15487,0.04257,CL0
-0.01928,-0.14277,-1.23177,-0.91699,-0.79151,CL1
-0.97631,1.46191,1.45421,0.59042,-2.05048,CL0
-1.11902,-1.64101,-0.94779,1.45039,1.02119,CL0
-0.31776,-0.14277,0.16767,-0.30172,-0.34799,CL0
-1.55521,0.41594,0.00332,0.13136,-0.46725,CL0
-1.11902,-0.14277,-0.15487,0.13136,0.73545,CL0
-0.45174,0.25953,0.16767,-0.30172,-0.92104,CL0
-1.42424,-0.52745,-1.92173,-0.76096,0.31287,CL0
0.29338,-0.27607,-0.57545,-0.60633,0.91093,CL1
0.7233,-0.78155,0.32197,0.28783,1.37297,CL0
0.7233,0.7583,-0.43999,0.28783,0.41667,CL0
-0.45174,-0.00665,-0.30033,0.28783,-1.55078,CL0
-0.97631,0.41594,-0.80615,0.76096,-0.14882,CL0
-0.97631,-0.14277,-0.57545,0.59042,-0.67825,CL0
1.06238,1.13407,0.32197,-1.6209,-0.46725,CL1
0.29338,0.7583,-1.09207,-0.15487,0.13606,CL1
-0.31776,-1.13788,0.63779,-0.60633,-0.46725,CL1
-0.01928,0.93949,-0.43999,-0.60633,-1.1943,CL1
0.7233,1.63088,3.00537,0.94156,-0.67825,CL2
0.58331,-0.40581,2.57309,-1.47955,-1.05308,CL3
-1.68062,0.93949,0.47617,-0.15487,-0.58016,CL0
1.43533,-0.00665,1.2861,-1.34289,-0.58016,CL1
-0.31776,0.12331,0.63779,-0.30172,0.04257,CL0
-0.17779,0.58489,0.16767,1.11406,-0.92104,CL0
-1.82919,2.04506,0.47617,-0.76096,-2.21844,CL0
-1.82919,-0.40581,-0.30033,0.28783,1.02119,CL0
-1.27553,0.58489,0.00332,-0.76096,0.13606,CL3
0.14143,0.7583,2.127,0.13136,-0.46725,CL0
-1.42424,-0.52745,0.47617,-0.91699,-0.79151,CL1
0.14143,-0.14277,0.32197,-0.30172,-0.14882,CL0
-0.84732,-0.65253,-1.09207,-0.60633,0.31287,CL1
0.88309,-0.78155,0.32197,-1.21213,-1.1943,CL0
0.29338,0.7583,0.63779,0.13136,0.04257,CL0
1.43533,-1.38502,1.93886,-0.76096,-2.3436,CL1
-0.84732,1.13407,-0.57545,0.28783,0.22393,CL1
0.14143,-0.40581,-0.57545,-1.772,0.62967,CL0
1.43533,-1.13788,0.80523,0.13136,1.60383,CL1
-2.39883,0.25953,-1.92173,1.11406,1.8399,CL0
-0.97631,1.46191,0.63779,0.28783,-0.34799,CL0
-0.97631,0.7583,0.63779,-1.07533,-1.05308,CL1
-1.55521,-0.78155,-1.23177,-2.07848,1.49158,CL0
-0.17779,-0.89891,0.16767,-0.30172,0.22393,CL0
-0.45174,0.12331,-0.69509,-0.01729,0.22393,CL1
0.29338,0.58489,1.93886,0.43852,-0.34799,CL0
0.44585,1.13407,1.2861,0.13136,-0.46725,CL0
-1.11902,-0.00665,0.63779,-0.45321,-1.1943,CL1
-0.84732,0.93949,-0.80615,0.28783,-0.34799,CL0
0.14143,0.25953,0.63779,0.13136,0.04257,CL0
-1.11902,0.41594,0.96248,0.94156,-0.79151,CL0
-1.42424,2.33337,0.32197,0.43852,0.91093,CL0
-1.27553,0.58489,-0.15487,2.46262,-1.55078,CL0
-0.58331,0.25953,-0.57545,-0.15487,-0.24649,CL0
0.29338,0.12331,0.16767,-0.15487,-0.05188,CL0
-0.31776,-0.65253,-1.50796,0.59042,3.27393,CL1
-0.58331,1.63088,1.58487,1.81866,-1.69163,CL0
-1.68062,1.63088,-0.30033,1.81866,-0.14882,CL0
0.29338,0.41594,1.58487,0.76096,-1.1943,CL0
0.14143,0.93949,-0.80615,0.28783,-0.46725,CL0
-0.58331,-0.27607,0.32197,0.94156,-0.05188,CL0
1.43533,-0.27607,0.32197,0.94156,1.98437,CL0
-1.11902,0.58489,0.63779,1.2861,-0.79151,CL0
-1.27553,-0.14277,-0.30033,0.28783,-0.46725,CL0
-0.58331,2.04506,1.2861,1.2861,-1.69163,CL0
-0.45174,-0.00665,-1.09207,-1.21213,0.13606,CL0
-1.11902,0.7583,0.16767,2.23427,-0.46725,CL0
-0.17779,-0.27607,-1.23177,-0.45321,0.22393,CL0
-0.71727,0.93949,0.47617,0.13136,-0.58016,CL0
-2.63199,0.25953,-1.09207,-0.91699,-0.05188,CL0
-0.71727,1.63088,1.93886,2.03972,-0.79151,CL0
0.14143,1.13407,1.2861,0.59042,-0.24649,CL0
-1.82919,-0.89891,-1.6334,0.43852,0.52135,CL0
-0.71727,-0.65253,-1.50796,-0.60633,-0.46725,CL0
-1.68062,0.7583,0.96248,0.76096,-0.67825,CL0
0.7233,0.58489,-1.37639,-0.45321,2.82196,CL0
-1.27553,-0.27607,-1.37639,0.28783,0.62967,CL0
-0.31776,0.12331,0.00332,1.11406,1.23461,CL2
-1.82919,0.7583,1.11406,-0.45321,-1.05308,CL0
-0.31776,0.41594,0.16767,-0.30172,-0.24649,CL0
-0.58331,0.25953,-0.57545,0.13136,-0.46725,CL0
0.44585,0.25953,0.80523,-0.15487,1.02119,CL1
-0.84732,-0.40581,0.32197,1.81866,-0.67825,CL0
-0.17779,0.93949,0.00332,1.61108,0.22393,CL0
-0.31776,0.12331,0.00332,0.94156,1.8399,CL0
-1.55521,1.13407,0.32197,1.45039,0.13606,CL1
-0.31776,1.63088,-0.30033,-0.45321,-0.24649,CL0
0.7233,-1.92173,-1.23177,-2.35413,1.49158,CL0
-0.97631,0.93949,0.00332,-0.45321,0.04257,CL0
-1.27553,-1.13788,1.2861,-0.30172,0.22393,CL0
-1.42424,-0.14277,0.00332,0.59042,-0.34799,CL0
-0.31776,-0.14277,-0.30033,0.13136,1.37297,CL1
2.15324,-0.78155,0.96248,0.76096,-0.34799,CL0
-0.45174,0.7583,-0.57545,-0.45321,0.52135,CL0
1.24033,0.25953,0.63779,0.13136,1.02119,CL0
-2.21069,-1.5184,-0.57545,0.76096,1.02119,CL0
0.44585,0.12331,0.00332,1.2861,0.62967,CL0
-0.84732,-0.52745,-0.57545,-1.21213,-0.14882,CL0
-1.27553,1.13407,0.00332,-0.91699,1.49158,CL0
-0.45174,-0.14277,-0.94779,0.76096,0.82562,CL1
-0.97631,-0.65253,-0.15487,1.11406,0.41667,CL1
-1.55521,0.93949,0.63779,0.28783,0.31287,CL0
-0.31776,0.93949,-0.43999,0.59042,-1.32828,CL0
-0.31776,0.7583,0.80523,1.2861,0.31287,CL0
0.29338,0.93949,-0.43999,-0.76096,1.98437,CL3
-0.97631,0.25953,-0.80615,0.59042,0.04257,CL0
-0.01928,-0.14277,0.63779,0.76096,0.31287,CL0
0.14143,1.81175,1.45421,0.28783,-0.67825,CL0
-1.97495,0.58489,-0.80615,1.11406,-0.79151,CL0
-2.09015,-0.27607,-1.37639,0.59042,0.41667,CL0
-0.45174,0.7583,0.00332,0.13136,-0.34799,CL0
-0.84732,-0.27607,0.00332,0.59042,-1.43907,CL0
-1.11902,-0.52745,1.2861,0.59042,-0.34799,CL0
-0.17779,-0.52745,-0.30033,0.28783,-0.79151,CL1
-0.45174,0.12331,-1.09207,0.13136,0.31287,CL0
-0.01928,0.41594,1.2861,-0.01729,-0.92104,CL0
0.7233,0.93949,0.32197,-0.30172,0.62967,CL1
-0.58331,-0.89891,0.32197,1.2861,-0.58016,CL0
-0.71727,-0.52745,0.47617,-0.91699,-0.34799,CL0
0.58331,-0.00665,0.47617,0.76096,-0.05188,CL5
0.7233,1.30612,2.32338,1.81866,-0.46725,CL4
-0.84732,1.46191,0.16767,1.11406,-0.58016,CL0
-0.58331,1.30612,-0.94779,-1.34289,-0.14882,CL3
-0.45174,1.13407,1.2861,0.94156,-0.67825,CL0
-2.39883,-0.65253,-1.09207,-0.91699,-1.55078,CL0
1.24033,0.25953,0.96248,-0.01729,-0.14882,CL2
0.29338,-1.0145,1.11406,-0.91699,-0.14882,CL0
0.58331,0.41594,1.2861,0.13136,-0.05188,CL0
-0.58331,-0.14277,0.47617,0.59042,-0.67825,CL1
-0.17779,-0.00665,0.00332,-0.30172,0.13606,CL1
1.06238,1.13407,0.47617,-0.45321,-1.43907,CL0
-1.42424,-1.25773,0.16767,-0.01729,0.73545,CL0
-1.11902,0.93949,-0.57545,1.11406,-0.67825,CL0
-0.84732,0.58489,0.63779,1.81866,0.13606,CL1
-1.27553,0.12331,-0.15487,0.94156,0.52135,CL0
0.44585,1.30612,1.11406,1.2861,-0.14882,CL0
-0.71727,-0.40581,-0.30033,1.11406,1.60383,CL2
0.29338,-0.00665,1.11406,1.45039,0.22393,CL1
0.44585,-1.64101,0.80523,1.45039,1.23461,CL1
-0.84732,0.7583,1.11406,-1.07533,0.31287,CL0
0.14143,0.25953,-0.57545,1.11406,-0.34799,CL1
0.29338,0.12331,-0.30033,-0.01729,0.82562,CL0
-0.45174,0.93949,0.47617,-0.76096,-0.14882,CL0
0.7233,0.25953,0.63779,1.11406,-0.24649,CL2
-0.31776,0.93949,1.11406,1.11406,-1.1943,CL0
0.29338,0.7583,1.45421,0.43852,-0.46725,CL0
0.88309,0.25953,0.63779,-0.45321,-1.32828,CL1
-0.71727,1.46191,0.47617,1.45039,-0.46725,CL0
-0.97631,0.58489,0.96248,-0.60633,0.22393,CL0
-0.01928,-0.14277,0.32197,-0.76096,-0.67825,CL1
0.14143,1.63088,1.45421,0.94156,-1.05308,CL0
-1.82919,0.41594,-2.21069,0.59042,1.02119,CL0
-0.45174,0.25953,-1.09207,-0.45321,0.13606,CL0
-0.01928,0.7583,1.2861,0.13136,0.04257,CL1
-1.42424,0.25953,0.80523,0.94156,-0.67825,CL0
-0.01928,1.63088,0.96248,-0.91699,0.41667,CL0
-1.27553,2.04506,0.96248,2.23427,0.04257,CL0
-0.17779,0.41594,0.32197,0.43852,1.49158,CL0
-2.21069,1.30612,-0.15487,0.28783,0.91093,CL1
-0.71727,0.25953,-0.15487,-0.60633,0.52135,CL0
0.7233,0.25953,0.63779,1.61108,-1.86962,CL0
-0.01928,2.63199,-1.23177,1.61108,0.62967,CL0
-0.84732,-1.0145,-1.23177,0.76096,2.127,CL0
-3.27393,-0.89891,-1.50796,0.76096,1.49158,CL0
0.7233,0.93949,1.11406,0.94156,-0.58016,CL3
-0.17779,-2.90161,-1.50796,1.11406,1.98437,CL0
-1.68062,-1.38502,-0.94779,-1.47955,-0.24649,CL1
-1.27553,-0.65253,-0.69509,0.43852,1.37297,CL0
-1.11902,1.63088,-0.30033,0.59042,-0.92104,CL0
-0.31776,1.81175,0.16767,2.03972,-2.42317,CL0
-0.17779,1.13407,0.32197,0.94156,1.13281,CL0
-0.31776,1.46191,0.16767,-0.45321,-0.46725,CL0
-0.71727,0.7583,-0.94779,-0.15487,0.62967,CL0
-0.58331,2.04506,0.96248,2.23427,-1.43907,CL0
0.29338,0.93949,0.16767,-0.01729,-0.79151,CL0
-0.71727,-0.27607,-0.69509,-0.91699,1.37297,CL0
1.06238,0.7583,1.74091,1.2861,-1.1943,CL1
-0.31776,0.93949,0.63779,0.76096,-0.46725,CL2
0.88309,-0.27607,0.00332,-2.70172,0.04257,CL1
-0.45174,1.81175,-0.15487,-1.47955,0.52135,CL0
0.29338,0.7583,-0.30033,0.43852,-1.05308,CL0
2.15324,-0.00665,0.96248,-0.91699,-0.46725,CL0
0.7233,-0.14277,-0.43999,-0.01729,-0.67825,CL0
-0.31776,0.25953,0.80523,0.94156,-0.92104,CL0
-0.01928,1.13407,0.00332,1.61108,-1.05308,CL0
-0.01928,0.58489,0.16767,0.59042,-0.46725,CL0
-0.45174,-0.00665,0.00332,-0.01729,-0.24649,CL0
-0.17779,0.7583,-0.15487,0.28783,-1.1943,CL1
-1.27553,-0.00665,1.45421,-0.45321,-0.92104,CL0
0.58331,2.04506,1.74091,0.43852,-1.05308,CL0
-0.84732,0.12331,0.16767,-0.76096,-0.92104,CL0
1.65653,0.7583,2.127,0.76096,-2.3436,CL0
0.44585,-1.38502,-0.69509,0.28783,0.73545,CL1
-0.01928,-0.00665,0.00332,0.28783,-1.05308,CL0
-1.11902,0.25953,0.16767,0.28783,0.22393,CL3
0.14143,0.58489,0.96248,-0.91699,0.22393,CL1
0.14143,1.63088,-0.43999,0.43852,0.41667,CL0
-0.58331,-0.52745,0.47617,-0.30172,-0.92104,CL0
1.06238,-0.14277,1.45421,0.76096,-1.05308,CL2
-0.31776,-0.00665,-0.43999,0.76096,-0.24649,CL0
0.29338,0.41594,0.80523,0.43852,-1.32828,CL1
0.7233,-0.89891,0.16767,-0.01729,-0.05188,CL0
-2.21069,-0.14277,-0.30033,-0.15487,0.04257,CL0
0.14143,0.93949,0.00332,0.94156,-0.05188,CL0
0.14143,0.7583,1.58487,-0.30172,-0.92104,CL0
0.7233,0.25953,-0.80615,-0.45321,-1.1943,CL2
-0.71727,0.25953,1.2861,-0.30172,-0.92104,CL0
-0.17779,-0.14277,-1.37639,-1.34289,0.22393,CL0
-0.45174,-0.89891,0.32197,0.43852,0.31287,CL0
-0.71727,-0.00665,0.32197,-0.30172,0.62967,CL0
-0.71727,1.13407,0.63779,1.61108,-2.05048,CL0
-0.84732,0.93949,0.96248,1.45039,-0.92104,CL0
0.44585,-0.40581,-1.09207,-0.76096,0.62967,CL1
-0.58331,0.41594,-0.15487,-0.60633,-0.05188,CL0
-0.17779,-0.40581,0.00332,-0.76096,1.13281,CL1
-0.17779,-0.14277,0.47617,-0.60633,-0.34799,CL0
0.14143,-0.00665,-0.43999,-0.01729,1.37297,CL0
0.14143,1.13407,-0.80615,-0.15487,0.82562,CL0
-1.42424,0.41594,-0.30033,1.61108,0.13606,CL0
-0.17779,0.58489,-0.94779,0.43852,0.82562,CL0
-1.55521,0.58489,-0.43999,0.13136,-0.24649,CL0
-0.71727,0.93949,-0.43999,0.59042,0.52135,CL0
-0.01928,-0.40581,0.63779,-0.76096,-0.14882,CL0
-1.27553,0.93949,0.00332,-0.15487,-0.34799,CL0
-1.27553,0.12331,-2.32338,1.61108,-1.05308,CL1
-0.84732,0.7583,-1.23177,-1.07533,0.22393,CL0
-0.71727,0.7583,-0.57545,1.11406,-0.46725,CL0
-0.17779,1.63088,0.80523,-0.01729,-1.69163,CL0
-0.17779,0.41594,0.16767,0.59042,-0.79151,CL0
-0.84732,0.58489,-0.15487,0.13136,-1.32828,CL0
-1.97495,-0.14277,-0.57545,-0.30172,1.13281,CL0
-0.45174,0.12331,0.00332,0.28783,-0.34799,CL0
0.29338,1.30612,1.74091,0.59042,0.04257,CL1
-0.71727,-0.14277,0.16767,0.13136,-0.58016,CL0
0.58331,0.41594,0.80523,-0.01729,-0.79151,CL0
1.06238,-0.78155,0.80523,-0.45321,-0.46725,CL1
-0.97631,1.13407,1.93886,-0.01729,-0.79151,CL0
-0.71727,0.93949,0.00332,0.28783,0.04257,CL0
-1.27553,0.58489,-0.30033,-0.15487,0.31287,CL0
-0.58331,-0.14277,-0.30033,-1.07533,0.73545,CL0
-0.97631,1.63088,-0.30033,1.81866,0.52135,CL0
0.44585,0.12331,0.47617,0.94156,-0.79151,CL0
-1.68062,-0.78155,-1.09207,0.28783,0.91093,CL1
1.43533,0.93949,0.00332,-0.91699,0.22393,CL0
-0.17779,2.33337,1.2861,0.94156,-0.79151,CL0
-1.97495,0.41594,-1.6334,0.94156,-0.58016,CL3
-0.01928,1.30612,1.58487,1.61108,-1.86962,CL0
-1.27553,-0.52745,-0.30033,1.11406,0.22393,CL0
-0.97631,-0.14277,0.47617,0.43852,-0.34799,CL0
-0.71727,0.7583,0.47617,0.76096,-1.05308,CL0
-0.97631,0.58489,-0.43999,-0.45321,-0.24649,CL2
-1.55521,0.7583,-0.43999,0.94156,-0.46725,CL0
-0.84732,-1.78169,-1.92173,0.43852,2.82196,CL0
-0.97631,0.12331,-0.43999,0.13136,-1.32828,CL0
-1.42424,-0.00665,-0.15487,-1.34289,-0.14882,CL0
0.58331,-1.0145,-0.57545,0.43852,0.41667,CL0
-0.17779,1.30612,0.16767,-0.01729,0.62967,CL0
1.06238,0.41594,0.32197,-1.772,-0.58016,CL1
0.29338,1.46191,1.2861,0.76096,-1.86962,CL0
-0.58331,0.7583,-0.30033,0.94156,-0.14882,CL0
0.88309,0.41594,1.11406,0.28783,-0.46725,CL0
-0.31776,1.81175,0.96248,0.94156,-1.69163,CL0
-0.01928,0.58489,0.00332,-0.15487,0.62967,CL0
-0.01928,-0.40581,-0.15487,-0.15487,0.22393,CL2
1.43533,1.13407,0.16767,1.81866,-1.86962,CL1
-0.17779,0.25953,0.47617,0.94156,0.04257,CL2
1.65653,0.25953,1.74091,2.46262,-0.14882,CL1
-0.01928,0.41594,0.80523,-0.01729,-0.92104,CL2
-0.45174,0.25953,0.32197,-0.15487,-0.58016,CL0
-0.58331,-0.14277,-0.69509,0.13136,0.52135,CL1
0.88309,-0.65253,-0.57545,1.2861,1.02119,CL2
-0.01928,-0.52745,0.16767,-0.45321,0.41667,CL2
0.44585,-1.38502,-0.69509,0.76096,-0.14882,CL1
-0.17779,0.41594,0.00332,-0.60633,-0.46725,CL2
-0.01928,-0.27607,-0.15487,0.28783,0.22393,CL1
1.24033,0.93949,0.00332,1.81866,0.62967,CL1
-1.27553,0.41594,-0.15487,1.45039,-1.1943,CL0
-0.97631,-1.64101,-1.23177,-1.772,2.46262,CL3
0.88309,-0.40581,-0.80615,0.13136,0.41667,CL2
0.58331,0.41594,1.58487,0.13136,-0.58016,CL2
-0.01928,-0.14277,0.80523,0.13136,0.52135,CL1
1.06238,1.30612,0.63779,0.94156,0.62967,CL5
-0.17779,0.41594,0.32197,0.59042,0.41667,CL1
-1.27553,0.41594,-0.15487,0.76096,1.23461,CL0
0.14143,-0.52745,-0.15487,-0.01729,0.41667,CL0
-0.58331,-1.25773,0.00332,-0.45321,-0.14882,CL0
-0.17779,0.58489,0.47617,-0.15487,-1.05308,CL0
0.29338,0.25953,0.47617,0.43852,-1.1943,CL0
-1.68062,0.7583,-0.94779,0.13136,-0.05188,CL1
0.29338,-0.65253,0.32197,0.76096,1.23461,CL2
0.14143,-0.27607,0.32197,-0.91699,0.22393,CL2
1.65653,0.41594,2.32338,-1.34289,1.02119,CL0
-1.11902,0.25953,0.96248,0.59042,0.91093,CL2
0.7233,0.12331,-1.7625,-0.91699,-0.34799,CL1
0.88309,1.13407,1.2861,1.61108,-0.24649,CL0
0.29338,1.46191,0.16767,-1.34289,0.13606,CL0
-0.71727,0.93949,0.00332,0.13136,-0.92104,CL0
